tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
medium,rot_bonds,selfies_ga,0,1001,1001,11.0,11.0,10.3,8.27,6.043706293706293,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/selfies_ga/seed_0/results_selfies_ga_rot_bonds_0.yaml
medium,rot_bonds,selfies_ga,1,1001,1001,12.0,12.0,10.1,7.83,5.899450549450549,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/selfies_ga/seed_1/results_selfies_ga_rot_bonds_1.yaml
medium,rot_bonds,selfies_ga,2,1001,1001,9.0,9.0,8.6,7.17,5.2104974390688685,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/selfies_ga/seed_2/results_selfies_ga_rot_bonds_2.yaml
medium,rot_bonds,smiles_ga,0,662,662,8.0,8.0,8.0,8.0,7.594099170383159,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/smiles_ga/seed_0/results_smiles_ga_rot_bonds_0.yaml
medium,rot_bonds,smiles_ga,1,729,729,9.0,9.0,9.0,9.0,8.325917216452197,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/smiles_ga/seed_1/results_smiles_ga_rot_bonds_1.yaml
medium,rot_bonds,smiles_ga,2,607,607,8.0,8.0,8.0,8.0,7.6408462121806435,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/smiles_ga/seed_2/results_smiles_ga_rot_bonds_2.yaml
medium,rot_bonds,stoned,0,1001,1001,16.0,16.0,15.2,13.83,10.232561089703946,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/stoned/seed_0/results_stoned_rot_bonds_0.yaml
medium,rot_bonds,stoned,1,1001,1001,16.0,16.0,15.1,13.6,10.246899529042386,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/stoned/seed_1/results_stoned_rot_bonds_1.yaml
medium,rot_bonds,stoned,2,1001,1001,15.0,15.0,14.1,12.44,9.364438339438337,oracle_benchmark_results_part2_evaluator/medium/rot_bonds/stoned/seed_2/results_stoned_rot_bonds_2.yaml
medium,sascore,gpbo,0,1001,1001,8.942550447629651,8.942550447629651,8.814184609067986,8.620270800481727,8.533002198877819,oracle_benchmark_results_part2_evaluator/medium/sascore/gpbo/seed_0/results_gp_bo_sascore_0.yaml
medium,sascore,gpbo,1,1001,1001,8.942550447629651,8.942550447629651,8.841129426885345,8.652490005112877,8.57317237910446,oracle_benchmark_results_part2_evaluator/medium/sascore/gpbo/seed_1/results_gp_bo_sascore_1.yaml
medium,sascore,gpbo,2,1001,1001,8.942550447629651,8.942550447629651,8.832713934255231,8.65444211592169,8.56261250019269,oracle_benchmark_results_part2_evaluator/medium/sascore/gpbo/seed_2/results_gp_bo_sascore_2.yaml
medium,sascore,graph_ga,0,1001,1001,9.0,9.0,8.995628408203993,8.735230810259763,8.68056487038529,oracle_benchmark_results_part2_evaluator/medium/sascore/graph_ga/seed_0/results_graph_ga_sascore_0.yaml
medium,sascore,graph_ga,1,1001,1001,9.0,9.0,8.997584451509457,8.734824375036883,8.696824596313458,oracle_benchmark_results_part2_evaluator/medium/sascore/graph_ga/seed_1/results_graph_ga_sascore_1.yaml
medium,sascore,graph_ga,2,1001,1001,9.0,9.0,8.999002737738982,8.769204802767586,8.747765053640068,oracle_benchmark_results_part2_evaluator/medium/sascore/graph_ga/seed_2/results_graph_ga_sascore_2.yaml
medium,sascore,graph_mcts,0,1000,1000,9.0,9.0,8.78250792255399,7.918122698680817,8.644514480118163,oracle_benchmark_results_part2_evaluator/medium/sascore/graph_mcts/seed_0/results_graph_mcts_sascore_0.yaml
medium,sascore,graph_mcts,1,1000,1000,9.0,9.0,8.900514936641187,8.11909416419083,8.72828452493621,oracle_benchmark_results_part2_evaluator/medium/sascore/graph_mcts/seed_1/results_graph_mcts_sascore_1.yaml
medium,sascore,graph_mcts,2,1000,1000,9.0,9.0,8.92692987113936,8.022440215018788,8.774379474922743,oracle_benchmark_results_part2_evaluator/medium/sascore/graph_mcts/seed_2/results_graph_mcts_sascore_2.yaml
medium,sascore,mimosa,0,1001,1001,8.66793054365497,8.66793054365497,8.352685526716238,8.04424829626118,8.205099037221816,oracle_benchmark_results_part2_evaluator/medium/sascore/mimosa/seed_0/results_mimosa_sascore_0.yaml
medium,sascore,mimosa,1,1001,1001,8.66793054365497,8.66793054365497,8.352685526716238,8.045076691584445,8.170339319090123,oracle_benchmark_results_part2_evaluator/medium/sascore/mimosa/seed_1/results_mimosa_sascore_1.yaml
medium,sascore,mimosa,2,1001,1001,8.66793054365497,8.66793054365497,8.352685526716238,8.042297635281923,8.221698325891738,oracle_benchmark_results_part2_evaluator/medium/sascore/mimosa/seed_2/results_mimosa_sascore_2.yaml
medium,sascore,moldqn,0,1001,1001,8.270584105783612,8.270584105783612,7.758892487196805,6.780788271373823,7.371514695268794,oracle_benchmark_results_part2_evaluator/medium/sascore/moldqn/seed_0/results_moldqn_sascore_0.yaml
medium,sascore,moldqn,1,1001,1001,8.433548297867686,8.433548297867686,8.070055353644594,6.868138482043324,7.586568246798768,oracle_benchmark_results_part2_evaluator/medium/sascore/moldqn/seed_1/results_moldqn_sascore_1.yaml
medium,sascore,moldqn,2,1001,1001,8.485069261224329,8.485069261224329,7.922936128207492,6.88478360989321,7.6865446435053055,oracle_benchmark_results_part2_evaluator/medium/sascore/moldqn/seed_2/results_moldqn_sascore_2.yaml
medium,sascore,reinvent,0,1001,1001,8.734680533544058,8.734680533544058,8.58074631470159,8.319994885675143,8.285922108522573,oracle_benchmark_results_part2_evaluator/medium/sascore/reinvent/seed_0/results_reinvent_sascore_0.yaml
medium,sascore,reinvent,1,1001,1001,8.707903193836918,8.707903193836918,8.595743654487782,8.446673239487607,8.378665774007652,oracle_benchmark_results_part2_evaluator/medium/sascore/reinvent/seed_1/results_reinvent_sascore_1.yaml
medium,sascore,reinvent,2,1001,1001,8.973110338411544,8.973110338411544,8.683401188832963,8.423451792147269,8.332512813247975,oracle_benchmark_results_part2_evaluator/medium/sascore/reinvent/seed_2/results_reinvent_sascore_2.yaml
medium,sascore,reinvent_selfies,0,1001,1001,8.623753181384103,8.623753181384103,8.389266822994797,8.06359676978036,8.16676890908366,oracle_benchmark_results_part2_evaluator/medium/sascore/reinvent_selfies/seed_0/results_reinvent_selfies_sascore_0.yaml
medium,sascore,reinvent_selfies,1,1001,1001,8.649802534718473,8.649802534718473,8.394816638249344,8.149676355957526,8.140519960648023,oracle_benchmark_results_part2_evaluator/medium/sascore/reinvent_selfies/seed_1/results_reinvent_selfies_sascore_1.yaml
medium,sascore,reinvent_selfies,2,1001,1001,8.577633063113206,8.577633063113206,8.465016406286733,8.230873747855785,8.226952946958955,oracle_benchmark_results_part2_evaluator/medium/sascore/reinvent_selfies/seed_2/results_reinvent_selfies_sascore_2.yaml
medium,sascore,screening,0,1000,1000,8.66793054365497,8.66793054365497,8.352685526716238,8.042297635281923,8.247032117347805,oracle_benchmark_results_part2_evaluator/medium/sascore/screening/seed_0/results_screening_sascore_0.yaml
medium,sascore,screening,1,1000,1000,8.66793054365497,8.66793054365497,8.352685526716238,8.042297635281923,8.197084073425488,oracle_benchmark_results_part2_evaluator/medium/sascore/screening/seed_1/results_screening_sascore_1.yaml
